ZIP_CODE,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
97304,0,10,0,0,1,4,61490.0,349725.0,2555
97305,0,0,4,0,0,1,14613.0,52533.0,175
97310,0,2,0,0,0,1,0.0,0.0,0
97312,0,9,0,0,1,0,0.0,0.0,2
97321,0,6,0,3,0,0,31779.0,220323.0,1242
97322,0,1,7,1,1,2,56268.0,221396.0,788
97330,0,23,0,5,3,4,217140.0,683976.0,13092
97331,0,21,0,3,0,4,0.0,0.0,0
97333,0,9,0,1,0,2,28491.0,163062.0,1248
97338,0,1,1,0,0,2,16318.0,123912.0,300
97341,0,1,0,0,0,1,1336.0,46978.0,48
97342,0,1,7,0,0,2,102.0,80626.0,4
97344,0,2,0,0,0,1,512.0,45313.0,7
97345,1,0,0,0,1,0,204.0,42713.0,6
97347,0,1,1,0,0,1,725.0,42802.0,7
97348,0,3,1,0,0,2,1218.0,124664.0,12
97351,0,10,0,3,0,2,18380.0,267500.0,515
97355,0,5,0,0,2,1,35277.0,159198.0,456
97360,0,3,5,5,0,1,5748.0,310464.0,60
97361,0,1,1,0,0,1,4047.0,43653.0,97
97365,0,8,6,1,2,3,29472.0,299028.0,744
97366,0,4,0,2,0,0,1544.0,113750.0,78
97367,0,7,9,2,0,3,22660.0,201030.0,730
97368,0,2,4,5,0,0,7305.0,194630.0,105
97370,0,2,0,1,0,0,3301.0,82132.0,192
97371,0,3,0,0,0,1,246.0,135385.0,7
97376,0,1,0,0,1,0,550.0,51346.0,21
97378,2,0,0,0,1,0,2410.0,56274.0,40
97381,0,2,0,0,0,1,5707.0,72770.0,205
97388,0,8,0,0,0,1,365.0,58368.0,20
97391,0,6,0,3,0,0,6771.0,164025.0,84
97392,0,2,0,0,0,1,2450.0,83725.0,75
97394,0,8,0,0,0,2,4794.0,93708.0,106
97401,0,27,1,6,2,7,315825.0,564930.0,9945
97402,0,8,0,2,0,2,85340.0,188672.0,1014
97403,0,23,0,6,4,1,45276.0,495374.0,2717
97404,0,5,0,3,0,1,54188.0,252880.0,1684
97405,10,16,0,0,2,3,96075.0,346000.0,7500
97408,0,8,0,4,1,0,29400.0,317375.0,1495
97411,0,6,8,0,1,3,13576.0,142180.0,356
97413,0,1,1,0,0,1,486.0,53716.0,10
97415,0,1,1,0,0,1,6548.0,50547.0,158
97417,0,3,1,1,0,1,2126.0,71594.0,4
97420,2,4,1,1,2,2,58155.0,249485.0,715
97424,0,11,1,0,0,4,28848.0,193872.0,448
97436,0,1,1,0,0,1,318.0,46667.0,7
97437,0,4,0,0,0,1,1078.0,74444.0,26
97439,0,17,1,2,0,4,42444.0,267648.0,912
97443,1,0,0,0,1,0,832.0,47098.0,8
97448,0,6,1,0,1,1,10182.0,117192.0,224
97452,1,0,0,0,1,0,676.0,61528.0,15
97455,0,6,0,0,0,1,935.0,79018.0,24
97457,1,2,8,1,1,1,11994.0,138228.0,105
97459,3,3,0,0,3,1,21544.0,215524.0,360
97462,0,1,1,0,0,1,1592.0,48557.0,28
97463,0,2,0,0,1,0,1685.0,32734.0,8
97465,0,3,1,0,0,2,2092.0,68236.0,36
97467,1,4,1,1,2,1,8868.0,157584.0,28
97470,7,8,1,2,7,3,105960.0,547044.0,1080
97471,1,9,1,2,2,2,75756.0,313350.0,1134
97477,0,3,19,0,0,4,63568.0,182696.0,1200
97478,0,1,0,0,0,1,14505.0,61307.0,284
97479,0,3,4,0,0,2,8386.0,94284.0,88
97487,0,1,1,0,0,1,3459.0,55260.0,73
97497,0,2,2,0,0,2,1288.0,68150.0,0
97498,3,6,1,0,1,3,3120.0,204924.0,196
97501,0,4,1,1,1,2,71420.0,182376.0,920
97502,0,4,0,2,0,0,22358.0,125204.0,198
97504,0,46,26,10,6,10,506194.0,1460758.0,7293
97520,2,42,1,4,8,5,197336.0,1003289.0,16422
97526,0,1,13,1,1,2,60628.0,191440.0,928
97527,0,4,0,1,0,1,29862.0,98448.0,394
97528,0,1,1,0,0,1,0.0,0.0,0
97540,0,2,0,0,1,0,3902.0,44593.0,152
97601,0,18,12,18,0,3,204246.0,904596.0,882
97603,1,0,8,0,1,1,23756.0,103944.0,170
97604,0,2,0,0,0,1,0.0,0.0,0
97626,0,3,0,1,0,1,0.0,0.0,0
97641,0,1,0,0,1,0,656.0,29479.0,0
97701,0,50,2,4,6,12,624910.0,1505658.0,5258
97702,0,39,12,3,4,9,313008.0,1118320.0,10560
97703,0,14,4,6,0,2,0.0,0.0,5624
97707,0,3,0,0,1,1,5184.0,138218.0,328
97720,0,1,1,1,1,0,4058.0,76412.0,30
97733,0,6,0,0,1,1,0.0,0.0,10
97738,0,0,8,0,0,1,744.0,52500.0,4
97741,0,8,7,7,0,2,39654.0,453753.0,297
97750,0,3,0,0,1,1,306.0,88750.0,0
97753,0,8,0,0,0,1,927.0,95165.0,28
97756,0,10,1,2,2,3,104783.0,460516.0,1778
97759,0,7,1,0,2,3,16325.0,380060.0,695
97761,0,1,1,0,0,1,1001.0,46382.0,2
97801,0,2,9,2,0,1,22119.0,159279.0,189
97812,0,1,2,0,0,1,356.0,59000.0,3
97814,0,0,16,0,0,2,10300.0,94626.0,36
97818,0,1,0,1,0,0,1522.0,53276.0,7
97823,0,2,0,1,0,0,455.0,42054.0,9
97828,0,4,0,2,0,0,2902.0,98366.0,8
97830,0,2,0,1,0,0,316.0,41719.0,4
97836,0,2,0,1,0,0,837.0,49821.0,2
97838,0,4,4,2,0,1,27828.0,174792.0,222
97843,0,2,0,1,0,0,254.0,58750.0,0
97845,0,1,1,1,0,1,2674.0,76048.0,18
97846,0,2,0,0,0,1,891.0,61157.0,4
97848,3,0,0,0,2,0,152.0,105910.0,2
